city,companyFullName,companyId,createTime,education,positionId,positionName,salary,workYear
北京,北京多牛互动传媒股份有限公司,21421,2018-02-22 17:30:45,本科,3703736,Python开发工程师-爬虫,13K-25K,1-3年
北京,杭州云脑科技有限公司,190413,2018-02-22 15:18:07,本科,4022435,Python工程师,10k-20k,1-3年
北京,紫梧桐（北京）资产管理有限公司,72106,2018-02-22 12:55:43,本科,3236037,python工程师,15k-30k,3-5年
成都,北京链商电子商务有限公司,77250,2018-02-24 17:21:34,本科,4067747,python研发工程师,8k-15k,1-3年
广州,广州杰颉软件科技有限公司,174043,2018-02-24 15:14:43,大专,3205522,Python工程师,10k-15k,3-5年
北京,联想（北京）有限公司,1650,2018-02-24 12:02:09,本科,4064228,python开发高级工程师,18k-35k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:40:56,本科,3165676,高级Python开发工程师,25k-35k,3-5年
广州,广州杰颉软件科技有限公司,174043,2018-02-24 15:14:42,不限,3553198,Python工程师,15k-20k,3-5年
北京,金色家园网络科技有限公司,53137,2018-02-24 09:29:11,本科,3015994,高级python工程师,20k-30k,5-10年
北京,北京点石经纬科技有限公司,18165,2018-02-23 17:11:46,本科,3266844,高级Python工程师,20k-30k,5-10年
深圳,深圳贝尔创意科教有限公司,147424,2018-02-23 09:38:49,本科,3384712,Python 开发工程师,15k-30k,3-5年
广州,铂良乐传媒广告（北京）有限公司,267546,2018-02-24 17:47:23,本科,4142643,python django开发工程师,10k-20k,1-3年
深圳,广州赛意信息科技股份有限公司,24574,2018-02-24 09:40:12,不限,3463293,python工程师,15k-25k,不限
长沙,人和未来生物科技（长沙）有限公司,245850,2018-02-24 09:27:07,本科,3536941,Python工程师,8k-15k,3-5年
上海,上海优刻得信息科技有限公司,165,2018-02-23 17:33:30,本科,3911445,初级Python开发工程师,15k-25k,1-3年
北京,北京一人一亩田网络科技有限公司,81107,2018-02-23 15:05:44,本科,4076440,python开发工程师,15k-25k,3-5年
北京,超对称（北京）科技有限公司,122289,2018-02-24 11:03:07,本科,3265326,Python开发工程师,12k-20k,1-3年
北京,北京陌上花科技有限公司,29151,2018-02-24 10:41:59,本科,3450447,高级Python开发工程师,20k-40k,3-5年
上海,两鲜商贸（上海）有限公司,61545,2018-02-24 09:52:04,大专,3729602,Python 开发工程师,10k-15k,1-3年
北京,北京数美时代科技有限公司,82991,2018-02-23 11:37:53,硕士,3684783,python研发工程师,15k-30k,1年以下
深圳,深圳市盖威科技有限公司,3956,2018-02-23 11:26:35,本科,3727987,Python开发工程师,14k-20k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:40:56,本科,3081019,Software Engineer -Python,25k-35k,3-5年
北京,金色家园网络科技有限公司,53137,2018-02-24 09:29:10,本科,3006136,高级python工程师,18k-30k,5-10年
深圳,深圳佑驾创新科技有限公司,124262,2018-02-23 10:37:21,本科,3759498,python工程师,15k-30k,1-3年
北京,北京星尘纪元智能科技有限公司,260173,2018-02-22 14:38:15,本科,4045220,高级Python工程师,20k-35k,3-5年
上海,苏州博纳讯动软件有限公司,43907,2018-02-22 09:23:29,本科,3886676,Python开发工程师,6k-10k,3-5年
北京,深信服科技股份有限公司,182070,2018-02-09 17:16:14,本科,4063371,Python开发工程师,12k-20k,1-3年
上海,上海岛昌爱佳医学科技股份有限公司,71534,2018-02-24 14:57:43,本科,4140385,Python开发工程师,15k-20k,3-5年
深圳,深圳浩瀚星际网络科技有限公司,160695,2018-02-24 10:22:16,本科,3742667,高级Python工程师,15k-30k,3-5年
北京,北京格上添富科技发展有限公司,125102,2018-02-23 11:35:03,本科,1942854,Python研发工程师,13k-25k,3-5年
北京,北京高域海汇科技有限公司,282633,2018-02-22 15:26:54,本科,4107316,Python开发工程师,15K-25K,1-3年
北京,诺远科技发展有限公司,89763,2018-02-22 13:45:04,本科,4126215,Python开发工程师,15k-25k,3-5年
上海,宏居网络技术（上海）有限公司,26351,2018-02-14 11:49:06,本科,4044245,Python开发／后端软件工程师.,20k-30k,3-5年
西安,西安甄一创展网络科技有限公司,267543,2018-02-25 00:55:17,本科,4143923,golang开发／python开发,15k-25k,3-5年
长沙,湖南创业工场网络科技有限公司,3638,2018-02-24 17:43:31,大专,3971422,python中级开发工程师,6k-10k,1-3年
北京,北京来也网络科技有限公司,93760,2018-02-24 11:01:43,本科,3362415,Python开发工程师,15k-30k,1-3年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:41:30,本科,3199947,高级软件工程师 （Python）,25k-35k,3-5年
苏州,苏州睿小麟教育科技有限公司,301063,2018-02-24 10:58:32,本科,3952894,资深Python研发工程师,15k-25k,3-5年
上海,上海宏路数据技术股份有限公司,24102,2018-02-24 10:47:38,不限,4088383,Python开发工程师,7k-14k,不限
深圳,北京市商汤科技开发有限公司,40459,2018-02-24 09:58:23,本科,4124555,Python开发工程师,15k-30k,3-5年
深圳,深圳市明源云客电子商务有限公司,5580,2018-02-24 09:56:28,本科,4120370,Python高级开发工程师,16k-22k,3-5年
深圳,深圳市紫川软件有限公司,63500,2018-02-24 09:23:27,本科,3893733,python工程师,8k-14k,1-3年
上海,连尚（北京）网络科技有限公司,202697,2018-02-22 10:39:22,本科,4022101,高级Python开发工程师,20k-35k,5-10年
